Gene_name	Bifidobacterium adolescentis	Bifidobacterium angulatum DSM 20098 JCM 7096	Bifidobacterium animalis	Bifidobacterium animalis subsp animalis YL2	Bifidobacterium animalis subsp. lactis BLC1	Bifidobacterium bifidum NCIMB 41171	Bifidobacterium breve	Bifidobacterium catenulatum DSM 16992 JCM 1194 LMG 11043	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 DSM 21854	Bifidobacterium dentium ATCC27678	Bifidobacterium longum JMC1217	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudolongum	Bifidobacterium thermophilum	Bifidobacterium-infantis-subsp-suis-DSM20211	Bifidobacterium-longum-infantis-subsp-infantis-ATCC15697
A4U98_RS02010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02015	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02025	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02030	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02045	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02055	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02060	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02070	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02075	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02105	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02115	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02120	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02125	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02130	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02140	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02145	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02165	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02170	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02175	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02180	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02190	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02195	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02200	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02210	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02215	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02220	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02225	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A4U98_RS02230	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
